Street Address,County Name,City,Store Name,State,Zip_Code,Ownership Type
"5361 Ballantyne Commons Pkwy, 100",MECKLENBURG,CHARLOTTE,Promenade,NC,28277,Company Owned
15007 John J. Delaney Dr.,MECKLENBURG,CHARLOTTE,Harris Teeter-Charlotte/Ballantyne,NC,28277,Licensed
9870 Rea Rd,MECKLENBURG,CHARLOTTE,Target Charlotte Far South T-2090,NC,28277,Licensed
16625 Lancaster Hwy,MECKLENBURG,CHARLOTTE,Harris Teeter-Charlotte # 317,NC,28277,Licensed
9820-A Rea Road,MECKLENBURG,CHARLOTTE,Blakeney,NC,28277,Company Owned
13855 Conlan Circle,MECKLENBURG,CHARLOTTE,Ballantyne,NC,28277,Company Owned
"4425 Park Road, 100",MECKLENBURG,CHARLOTTE,Park Towne Village,NC,28209,Company Owned
5501 Josh Birmingham Pkwy,MECKLENBURG,CHARLOTTE,CLT E Food Court,NC,28208,Licensed
5501 Josh Birmingham Parkway,MECKLENBURG,CHARLOTTE,CLT - Main C/D Side Bookstore,NC,28208,Licensed
"5501 R C Josh Birmingham Pkwy, The Arbors",MECKLENBURG,CHARLOTTE,CIT - Baggage Claim,NC,28208,Licensed
5501 Josh Birmingham Pkwy,MECKLENBURG,CHARLOTTE,CLT- Main Terminal Pre Security,NC,28208,Licensed
"5501 R C Josh Birmingham Pkwy., Host Marriott/Starbucks Coffee",MECKLENBURG,CHARLOTTE,CIT - Mobile Truck,NC,28208,Licensed
5501 Josh Birmingham Parkway,MECKLENBURG,CHARLOTTE,CLT - Charlotte Main Term Bookstore,NC,28208,Licensed
5501 Josh Birmingham Pkwy,MECKLENBURG,CHARLOTTE,CLT Terminal E,NC,28208,Licensed
"5502 Josh Birmingham Parkway, Gateway Village",MECKLENBURG,CHARLOTTE,CLT - Charlotte C-13-,NC,28208,Licensed
"5501 Josh Birmingham Parkway, Blakeney",MECKLENBURG,CHARLOTTE,"CLT - Term B-Gate 12, Gift/News",NC,28208,Licensed
"5501 Josh Birmingham Parkway, Shops of Ballantyne",MECKLENBURG,CHARLOTTE,CLT - Concourse D/E Connector,NC,28208,Licensed
"3540 Mount Holly-Huntersville Rd, Stonecrest",MECKLENBURG,CHARLOTTE,Harris Teeter - Charlotte #166,NC,28216,Licensed
9841 Northlake Ctr Pkwy,MECKLENBURG,CHARLOTTE,SuperTarget Charlotte North ST-2080,NC,28216,Licensed
"6801 Northlake Mall Dr., #238",MECKLENBURG,CHARLOTTE,Teavana - Northlake Mall,NC,28216,Company Owned
"6801 Northlake Mall Drive, Space K101",MECKLENBURG,CHARLOTTE,Northlake Mall,NC,28216,Company Owned
5434 New Fashion Way,MECKLENBURG,CHARLOTTE,Charlotte Premium Outlet,NC,28278,Company Owned
13000 S Tryon St,MECKLENBURG,CHARLOTTE,Harris Teeter-S Tryon Charlotte #88,NC,28278,Licensed
"13129 S. Tryon St., Suite 100",MECKLENBURG,CHARLOTTE,Hwy 49 & Steelecroft Pkwy,NC,28278,Company Owned
9531 South Blvd,MECKLENBURG,CHARLOTTE,Target Pineville T-762,NC,28273,Licensed
"7819 Forest Pine Drive, Southpark Mall",MECKLENBURG,CHARLOTTE,Arrowood Road,NC,28273,Company Owned
8951-A SOUTH TRYON STREET,MECKLENBURG,CHARLOTTE,Whitehall,NC,28273,Company Owned
12830 Walker Branch Dr,MECKLENBURG,CHARLOTTE,Super Target Charlotte ST-2132,NC,28273,Licensed
14523 CAROWINDS BLVD,MECKLENBURG,CHARLOTTE,Carowinds Amusement Park Main Gate,NC,28273,Licensed
5810 Highland Shoppes Dr,MECKLENBURG,CHARLOTTE,Harris Teeter Charlotte # 122,NC,28269,Licensed
8439 Davis Lake Parkway,MECKLENBURG,CHARLOTTE,Davis Lake Commons,NC,28269,Company Owned
1704 Central Ave,MECKLENBURG,CHARLOTTE,Harris Teeter - Charlotte #401,NC,28205,Licensed
"4400 Sharon Rd., Ste. G31B, Charlotte/Douglas Int'l Airport",MECKLENBURG,CHARLOTTE,Teavana - Southpark Mall,NC,28211,Company Owned
"4450 Randolph Rd. Ste 100, Duke Energy Center",MECKLENBURG,CHARLOTTE,Cotswold Village Shops,NC,28211,Company Owned
"4400 Sharron Road, C7B",MECKLENBURG,CHARLOTTE,South Park Mall,NC,28211,Company Owned
"6701 Morrison Blvd., Park Place Shopping Center",MECKLENBURG,CHARLOTTE,Morrocroft Village - HT,NC,28211,Company Owned
"2121 East Arbors Drive, Suite 110",MECKLENBURG,CHARLOTTE,The Arbors,NC,28262,Company Owned
"9335 North Tryon Street, 104, Northlake Mall",MECKLENBURG,CHARLOTTE,N. Tryon Street & Institute Circle,NC,28262,Company Owned
